"year","month","day","weekday","temperature","rain","clouds","ultraviolet"
2018,7,24,2,22,0,75,8.697
2018,7,25,3,21,0,75,8.73
2018,7,26,4,22,0,75,8.559
2018,7,27,5,23,0,90,8.698
2018,7,28,6,22,0,75,8.581
2018,7,29,7,22,0,90,8.472
2018,7,30,1,23,1.5,90,8.633
2018,7,31,2,22,0,75,8.738
2018,8,1,3,25,0,0,8.941
2018,8,2,4,32,0,0,8.912
2018,8,3,5,35,0,0,9.089
2018,8,4,6,33,0,20,8.868
2018,8,5,7,31,0,40,8.657
2018,8,6,1,22,0,90,8.25
2018,8,7,2,24,0,90,7.806
2018,8,8,3,21,2.6,90,7.857
2018,8,9,4,21,0,90,7.651
2018,8,10,5,21,0,0,7.911
2018,8,11,6,23,0,20,8.017
2018,8,12,7,20,0.8,90,8.436
2018,8,13,1,21,0,75,8.563
2018,8,14,2,27,0,90,7.897
2018,8,15,3,24,0,90,7.757
2018,8,16,4,22,0,90,7.749
2018,8,17,5,25,0,0,7.687
2018,8,18,6,29,0,0,7.729
2018,8,19,7,32,0,0,7.457
2018,8,20,1,34,0,0,7.35
2018,8,21,2,29,0,0,7.416
2018,8,22,3,24,0,90,7.236
2018,8,23,4,20,0,90,7.256
2018,8,24,5,23,0,75,7.287
2018,8,25,6,22,0,20,7.133
2018,8,26,7,23,0,0,7.087
2018,8,27,1,27,1.2,40,6.881
2018,8,28,2,19,2.8,90,7.097
2018,8,29,3,20,0,75,6.963
2018,8,30,4,22,0,0,7.031
2018,8,31,5,27,0,0,6.893
2018,9,1,6,33,0,0,6.721
2018,9,2,7,29,0,0,6.644
2018,9,3,1,21,0.9,75,6.715
2018,9,4,2,23,8,75,6.568
2018,9,5,3,21,0.21,90,6.238
2018,9,6,4,22,0,90,6.267
2018,9,7,5,25,0.4,20,6.301
2018,9,8,6,23,10.3,75,6.386
2018,9,9,7,19,0,90,6.34
2018,9,10,1,26,0,90,6.483
2018,9,11,2,28,0,20,6.73
2018,9,12,3,22,0,20,6.777
2018,9,13,4,21,0,90,6.692
2018,9,14,5,20,0,90,6.484
2018,9,15,6,24,0,90,6.281
2018,9,16,7,20,0,90,6.137
2018,9,17,1,20,0,90,6.062
2018,9,18,2,21,0,90,5.949
2018,9,19,3,23,0,92,5.975
2018,9,20,4,22,0,90,6.133
2018,9,21,5,23,0,90,6.228
2018,9,22,6,22,0,20,6.263
2018,9,23,7,22,0,20,6.133
2018,9,24,1,29,0,0,5.929
2018,9,25,2,30,0,0,5.507
2018,9,26,3,30,0,0,5.513
2018,9,27,4,28,0.13,0,5.457
2018,9,28,5,21,0,90,5.4
2018,9,29,6,19,0,90,5.277
2018,9,30,7,18,0,90,4.903
2018,10,1,1,25,0,90,4.877
2018,10,2,2,29,0,0,4.953
2018,10,3,3,28,0,0,4.773
2018,10,4,4,25,0,0,4.533
2018,10,5,5,20,0,0,4.407
2018,10,6,6,20,0,24,4.34
2018,10,7,7,20,0,0,4.193
2018,10,8,1,23,0,0,3.997
2018,10,9,2,24,0,20,3.83
2018,10,10,3,20,0,90,3.8
2018,10,11,4,20,13,90,3.927
2018,10,12,5,23,0,75,4.013
2018,10,13,6,24,12,75,3.977
2018,10,14,7,16,9.4,75,3.983
2018,10,15,1,17,50.7,90,3.98
2018,10,16,2,19,0,90,3.657
2018,10,17,3,17,15,90,3.69
2018,10,18,4,22,0.3,75,3.503
2018,10,19,5,23,0,0,3.427
2018,10,20,6,26,0,20,3.35
2018,10,21,7,25,1.89,40,3.347
2018,10,22,1,24,0,0,3.423
2018,10,23,2,26,0,0,3.383
2018,10,24,3,23,0,0,3.207
2018,10,25,4,20,0,92,2.947
2018,10,26,5,17,0,75,2.58
2018,10,27,6,15,0,20,2.49
2018,10,28,7,14,0,20,2.343
2018,10,29,1,13,12,90,2.39
2018,10,30,2,12,10,75,2.393
2018,10,31,3,13,7.9,75,2.527
2018,11,1,4,15,8.6,75,2.7
2018,11,2,5,16,2.7,90,2.643
2018,11,3,6,14,0,75,2.39
2018,11,4,7,14,43.4,75,2.27
2018,11,5,1,15,13.6,75,2.247
2018,11,6,2,15,27,90,2.17
2018,11,7,3,16,2,90,2.129
2018,11,8,4,13,14.8,75,2.145
2018,11,9,5,15,34.7,90,2.174
2018,11,10,6,17,17.9,90,2.015
2018,11,11,7,16,24,90,2.007
2018,11,12,1,15,0,40,1.925
2018,11,13,2,17,0,0,1.992
2018,11,14,3,21,0,0,1.939
2018,11,15,4,22,0,40,1.894
2018,11,16,5,21,0.29,36,1.846
2018,11,17,6,20,0,20,1.755
2018,11,18,7,18,5.07,100,1.655
2018,11,19,1,15,0.19,92,1.58
2018,11,20,2,14,0,90,1.531
2018,11,21,3,13,0,75,1.502
2018,11,22,4,13,0,75,1.503
2018,11,23,5,14,7.9,75,1.544
2018,11,24,6,15,18.4,75,1.549
2018,11,25,7,14,9,75,1.592
2018,11,26,1,14,0,75,1.633
2018,11,27,2,15,0,75,1.628
2018,11,28,3,15,0,90,1.559
2018,11,29,4,14,13.2,90,1.508
2018,11,30,5,15,0,90,1.548
2018,12,1,6,15,0,75,1.634
2018,12,2,7,16,0,75,1.676
2018,12,3,1,15,22.5,90,1.621
2018,12,4,2,17,0,90,1.555
2018,12,5,3,18,1,75,1.486
2018,12,6,4,16,0,90,1.47
2018,12,7,5,14,9.6,90,1.493
2018,12,8,6,15,0,75,1.45
2018,12,9,7,16,0,75,1.427
2018,12,10,1,18,0,8,1.447
2018,12,11,2,16,0,75,1.35
2018,12,12,3,14,16.6,75,1.347
2018,12,13,4,14,43.7,75,1.19
2018,12,14,5,14,0.8,90,1.51
2018,12,15,6,14,17,90,1.47
2018,12,16,7,14,0.9,98,1.24
2018,12,17,1,13,0.25,100,1.29
2018,12,18,2,14,10.62,90,1.28
2018,12,19,3,14,13.99,75,1.21
2018,12,20,4,15,66.22,75,1.31
2018,12,21,5,13,23.94,90,1.39
2018,12,22,6,17,1.52,100,1.35
2018,12,23,7,16,0,100,1.36
2018,12,24,1,15,0,100,1.34
2018,12,25,2,15,0,100,1.28
2018,12,26,3,16,0,100,1.19
2018,12,27,4,12,12.04,75,1.2
2018,12,28,5,16,0,75,1.39
2018,12,29,6,17,0,1,1.37
2018,12,30,7,17,0,1,1.34
2018,12,31,1,17,0,1,1.4
2019,1,1,2,14,0,61,1.42
2019,1,2,3,13,0,61,1.43
2019,1,3,4,14,0,1,1.33
2019,1,4,5,14,0,61,1.29
2019,1,5,6,13,0,61,1.33
2019,1,6,7,15,0,61,1.38
2019,1,7,1,18,0,1,1.36
2019,1,8,2,16,0,13,1.33
2019,1,9,3,16,0,1,1.43
2019,1,10,4,14,0,0,1.56
2019,1,11,5,12,0,0,1.56
2019,1,12,6,13,0,7,1.52
2019,1,13,7,13,0,90,1.55
2019,1,14,1,13,0,91,1.68
2019,1,15,2,9,0,75,1.617
2019,1,16,3,11,4.55,90,1.63
2019,1,17,4,13,0.75,90,1.577
2019,1,18,5,8,3.98,90,1.598
2019,1,19,6,14,41.5,92,1.638
2019,1,20,7,14,0.2,40,1.627
2019,1,21,1,13,0,20,1.659
2019,1,22,2,12,6.76,75,1.619
2019,1,23,3,13,4.91,90,1.711
2019,1,24,4,15,1.01,90,1.815
2019,1,25,5,15,0,8,1.895
2019,1,26,6,15,0,75,2.001
2019,1,27,7,13,0.88,90,2.072
2019,1,28,1,13,4.5,90,2.106
2019,1,29,2,13,9.79,90,2.165
2019,1,30,3,13,38.03,90,2.064
2019,1,31,4,14,35.01,75,2.029
2019,2,1,5,12,10.36,75,2.134
2019,2,2,6,11,1.74,40,2.445
2019,2,3,7,12,0,64,2.557
2019,2,4,1,13,0,44,2.523
2019,2,5,2,13,0,56,2.239
2019,2,6,3,13,0,90,2.177
2019,2,7,4,13,3.01,90,2.369
2019,2,8,5,14,2.33,90,2.645
2019,2,9,6,14,1.15,90,2.847
2019,2,10,7,14,23.67,75,2.948
2019,2,11,1,13,1.77,0,3.026
2019,2,12,2,16,0,0,3.093
2019,2,13,3,17,0,0,3.044
2019,2,14,4,21,0,0,2.894
2019,2,15,5,17,0,44,2.652
2019,2,16,6,18,0,36,2.489
2019,2,17,7,16,0.25,75,2.623
2019,2,18,1,13,8.65,90,2.679
2019,2,19,2,12,0.25,20,2.991
2019,2,20,3,15,0,0,3.231
2019,2,21,4,18,0,40,3.466
2019,2,22,5,22,0,20,3.606
2019,2,23,6,21,0,0,3.794
2019,2,24,7,21,0,0,3.983
2019,2,25,1,21,0,0,3.681
2019,2,26,2,22,0,0,3.558
2019,2,27,3,16,0.2,75,3.59
2019,2,28,4,15,0,88,3.948
2019,3,1,5,15,0.5,90,4.089
2019,3,2,6,17,0.25,75,4.053
2019,3,3,7,16,1.77,75,4.002
2019,3,4,1,14,3.89,75,3.575
2019,3,5,2,14,30.94,75,3.279
2019,3,6,3,14,19.35,90,3.684
2019,3,7,4,13,15.57,90,3.18
2019,3,8,5,15,1.5,87,4.9
2019,3,9,6,17,1,75,5.35
2019,3,10,7,17,0.5,90,5.18
2019,3,11,1,17,0.5,75,5.45
2019,3,12,2,15,3.31,96,5.46
2019,3,13,3,14,0.25,94,3.88
2019,3,14,4,16,0.25,44,4.51
2019,3,15,5,18,0,60,5.18
2019,3,16,6,17,0,92,5.06
2019,3,17,7,14,6,90,4.23
2019,3,18,1,16,0,96,5.57
2019,3,19,2,18,0,21,5.44
2019,3,20,3,18,0,1,5.56
2019,3,21,4,19,0,89,5.3
2019,3,22,5,20,0,22,4.81
2019,3,23,6,22,0,34,4.76
