city_name,weather_description,temperature,atmospheric_pressure,humidity,clouds,precipitation,creation_date
Guimaraes,"algumas nuvens",22,1016,77,20,0,"2018-07-24 14H"
Guimaraes,"algumas nuvens",22,1016,73,20,0,"2018-07-24 15H"
Guimaraes,"algumas nuvens",21,1016,82,20,0,"2018-07-24 16H"
Guimaraes,"algumas nuvens",21,1016,82,20,0,"2018-07-24 17H"
Guimaraes,névoa,19,1016,93,75,0,"2018-07-24 18H"
Guimaraes,névoa,18,1016,93,75,0,"2018-07-24 19H"
Guimaraes,névoa,17,1016,100,75,0,"2018-07-24 20H"
Guimaraes,névoa,18,1016,93,75,0,"2018-07-24 21H"
Guimaraes,névoa,18,1016,93,75,0,"2018-07-24 22H"
Guimaraes,"nuvens quebrados",18,1016,93,75,0,"2018-07-24 23H"
Guimaraes,névoa,17,1016,100,75,0,"2018-07-25 00H"
Guimaraes,névoa,17,1015,100,75,0,"2018-07-25 01H"
Guimaraes,névoa,18,1015,93,75,0,"2018-07-25 02H"
Guimaraes,névoa,18,1015,93,75,0,"2018-07-25 03H"
Guimaraes,névoa,18,1015,93,75,0,"2018-07-25 04H"
Guimaraes,névoa,18,1015,93,75,0,"2018-07-25 05H"
Guimaraes,névoa,18,1016,93,75,0,"2018-07-25 06H"
Guimaraes,névoa,17,1016,100,75,0,"2018-07-25 07H"
Guimaraes,névoa,18,1016,93,75,0,"2018-07-25 08H"
Guimaraes,"nuvens quebrados",19,1016,77,75,0,"2018-07-25 09H"
Guimaraes,"nuvens dispersas",20,1016,83,40,0,"2018-07-25 10H"
Guimaraes,"nuvens quebrados",20,1016,88,75,0,"2018-07-25 11H"
Guimaraes,"nuvens quebrados",21,1015,88,75,0,"2018-07-25 12H"
Guimaraes,"nuvens quebrados",21,1015,88,75,0,"2018-07-25 13H"
Guimaraes,"nuvens dispersas",21,1015,88,40,0,"2018-07-25 14H"
Guimaraes,"nuvens dispersas",20,1015,88,40,0,"2018-07-25 15H"
Guimaraes,"algumas nuvens",20,1015,82,20,0,"2018-07-25 16H"
Guimaraes,"nuvens quebrados",19,1015,88,75,0,"2018-07-25 17H"
Guimaraes,neblina,19,1015,100,75,0,"2018-07-25 18H"
Guimaraes,névoa,18,1016,100,75,0,"2018-07-25 19H"
Guimaraes,névoa,18,1016,93,75,0,"2018-07-25 20H"
Guimaraes,névoa,18,1016,100,75,0,"2018-07-25 21H"
Guimaraes,névoa,18,1016,100,75,0,"2018-07-25 22H"
Guimaraes,névoa,18,1016,100,75,0,"2018-07-25 23H"
Guimaraes,névoa,18,1016,100,75,0,"2018-07-26 00H"
Guimaraes,névoa,18,1016,93,75,0,"2018-07-26 01H"
Guimaraes,névoa,18,1016,100,75,0,"2018-07-26 02H"
Guimaraes,névoa,18,1015,100,75,0,"2018-07-26 03H"
Guimaraes,névoa,18,1016,93,75,0,"2018-07-26 04H"
Guimaraes,"nuvens quebrados",18,1016,93,75,0,"2018-07-26 05H"
Guimaraes,"nuvens quebrados",18,1016,93,75,0,"2018-07-26 06H"
Guimaraes,"nuvens quebrados",18,1016,93,75,0,"2018-07-26 07H"
Guimaraes,"nuvens quebrados",19,1016,88,75,0,"2018-07-26 08H"
Guimaraes,"nuvens dispersas",20,1017,88,40,0,"2018-07-26 09H"
Guimaraes,"nuvens dispersas",21,1017,83,40,0,"2018-07-26 10H"
Guimaraes,"algumas nuvens",21,1016,83,20,0,"2018-07-26 11H"
Guimaraes,"algumas nuvens",22,1016,78,20,0,"2018-07-26 12H"
Guimaraes,"algumas nuvens",21,1016,73,20,0,"2018-07-26 13H"
Guimaraes,"algumas nuvens",22,1016,68,20,0,"2018-07-26 14H"
Guimaraes,"céu claro",22,1016,73,0,0,"2018-07-26 15H"
Guimaraes,"céu claro",21,1016,77,0,0,"2018-07-26 16H"
Guimaraes,"algumas nuvens",21,1016,82,20,0,"2018-07-26 17H"
Guimaraes,"céu claro",21,1016,77,0,0,"2018-07-26 18H"
Guimaraes,"céu claro",20,1016,82,0,0,"2018-07-26 19H"
Guimaraes,"céu claro",18,1016,93,0,0,"2018-07-26 20H"
Guimaraes,"céu claro",18,1017,88,0,0,"2018-07-26 21H"
Guimaraes,"céu claro",16,1016,93,0,0,"2018-07-26 22H"
Guimaraes,"céu claro",16,1016,93,0,0,"2018-07-26 23H"
Guimaraes,"nuvens quebrados",16,1016,100,75,0,"2018-07-27 00H"
Guimaraes,"nuvens quebrados",17,1016,93,75,0,"2018-07-27 01H"
Guimaraes,"nuvens quebrados",16,1015,93,75,0,"2018-07-27 02H"
Guimaraes,"nuvens quebrados",18,1015,93,75,0,"2018-07-27 03H"
Guimaraes,"nuvens quebrados",17,1015,100,75,0,"2018-07-27 04H"
Guimaraes,"garoa fraca",17,1015,100,75,0,"2018-07-27 05H"
Guimaraes,"tempo nublado",18,1015,93,90,0,"2018-07-27 07H"
Guimaraes,"nuvens dispersas",19,1016,88,40,0,"2018-07-27 08H"
Guimaraes,"nuvens dispersas",20,1016,68,40,0,"2018-07-27 09H"
Guimaraes,"nuvens quebrados",21,1016,77,75,0,"2018-07-27 10H"
Guimaraes,"nuvens dispersas",21,1016,77,40,0,"2018-07-27 11H"
Guimaraes,"algumas nuvens",22,1016,64,20,0,"2018-07-27 12H"
Guimaraes,"algumas nuvens",23,1015,49,20,0,"2018-07-27 13H"
Guimaraes,"algumas nuvens",22,1016,77,20,0,"2018-07-27 14H"
Guimaraes,"algumas nuvens",21,1016,77,20,0,"2018-07-27 15H"
Guimaraes,"algumas nuvens",21,1016,73,20,0,"2018-07-27 16H"
Guimaraes,"algumas nuvens",21,1016,64,20,0,"2018-07-27 17H"
Guimaraes,"algumas nuvens",21,1016,68,20,0,"2018-07-27 18H"
Guimaraes,"céu claro",20,1016,72,0,0,"2018-07-27 19H"
Guimaraes,"céu claro",19,1017,77,0,0,"2018-07-27 20H"
Guimaraes,"céu claro",19,1017,82,0,0,"2018-07-27 21H"
Guimaraes,"céu claro",17,1017,88,0,0,"2018-07-27 22H"
Guimaraes,"céu claro",16,1017,93,0,0,"2018-07-27 23H"
Guimaraes,"céu claro",15,1017,93,0,0,"2018-07-28 00H"
Guimaraes,"nuvens quebrados",14,1017,93,75,0,"2018-07-28 01H"
Guimaraes,"nuvens quebrados",14,1017,93,75,0,"2018-07-28 02H"
Guimaraes,"nuvens quebrados",14,1016,93,75,0,"2018-07-28 03H"
Guimaraes,"nuvens quebrados",14,1016,93,75,0,"2018-07-28 04H"
Guimaraes,"nuvens quebrados",15,1016,88,75,0,"2018-07-28 05H"
Guimaraes,"nuvens quebrados",15,1016,88,75,0,"2018-07-28 06H"
Guimaraes,"nuvens dispersas",18,1016,82,40,0,"2018-07-28 07H"
Guimaraes,"céu claro",20,1017,72,0,0,"2018-07-28 08H"
Guimaraes,"algumas nuvens",21,1017,73,20,0,"2018-07-28 09H"
Guimaraes,"algumas nuvens",22,1017,73,20,0,"2018-07-28 10H"
Guimaraes,"algumas nuvens",21,1017,73,20,0,"2018-07-28 11H"
Guimaraes,"algumas nuvens",22,1017,73,20,0,"2018-07-28 12H"
Guimaraes,"algumas nuvens",22,1017,73,20,0,"2018-07-28 13H"
Guimaraes,"algumas nuvens",22,1017,73,20,0,"2018-07-28 14H"
Guimaraes,"algumas nuvens",22,1017,73,20,0,"2018-07-28 15H"
Guimaraes,"algumas nuvens",22,1017,73,20,0,"2018-07-28 16H"
Guimaraes,"céu claro",21,1017,68,0,0,"2018-07-28 17H"
Guimaraes,"céu claro",19,1017,72,0,0,"2018-07-28 18H"
Guimaraes,"céu claro",19,1017,72,0,0,"2018-07-28 19H"
Guimaraes,"céu claro",17,1017,88,0,0,"2018-07-28 20H"
Guimaraes,"céu claro",17,1017,82,0,0,"2018-07-28 21H"
Guimaraes,"céu claro",16,1018,93,0,0,"2018-07-28 22H"
Guimaraes,"céu claro",15,1018,93,0,0,"2018-07-28 23H"
Guimaraes,"nuvens quebrados",15,1018,100,75,0,"2018-07-29 00H"
Guimaraes,"algumas nuvens",14,1018,100,20,0,"2018-07-29 01H"
Guimaraes,"algumas nuvens",14,1018,100,20,0,"2018-07-29 02H"
Guimaraes,"algumas nuvens",14,1018,100,20,0,"2018-07-29 03H"
Guimaraes,"nuvens dispersas",14,1018,100,40,0,"2018-07-29 04H"
Guimaraes,"tempo nublado",15,1018,87,90,0,"2018-07-29 05H"
Guimaraes,"tempo nublado",15,1017,87,90,0,"2018-07-29 06H"
Guimaraes,"nuvens quebrados",17,1018,82,75,0,"2018-07-29 07H"
Guimaraes,"nuvens quebrados",17,1018,77,75,0,"2018-07-29 08H"
Guimaraes,"nuvens dispersas",20,1019,64,40,0,"2018-07-29 09H"
Guimaraes,"nuvens dispersas",20,1019,64,40,0,"2018-07-29 10H"
Guimaraes,"algumas nuvens",21,1019,60,20,0,"2018-07-29 11H"
Guimaraes,"algumas nuvens",21,1019,60,20,0,"2018-07-29 12H"
Guimaraes,"algumas nuvens",22,1020,60,20,0,"2018-07-29 13H"
Guimaraes,"nuvens dispersas",22,1020,64,40,0,"2018-07-29 14H"
Guimaraes,"nuvens dispersas",22,1019,64,40,0,"2018-07-29 15H"
Guimaraes,"nuvens quebrados",21,1019,60,75,0,"2018-07-29 16H"
Guimaraes,"nuvens quebrados",21,1020,72,75,0,"2018-07-29 17H"
Guimaraes,"nuvens quebrados",20,1019,72,75,0,"2018-07-29 18H"
Guimaraes,"nuvens quebrados",20,1019,77,75,0,"2018-07-29 19H"
